section,condition,writer,value
nsites,WT_C,,10007
A_tested,WT_C,,107015
rate,WT_C,,93.5103
writer_count,WT_C,mta,20282
writer_Atested,WT_C,mta,134847
writer_count,WT_C,mtb,13247
writer_Atested,WT_C,mtb,117281
writer_count,WT_C,fip37,7846
writer_Atested,WT_C,fip37,83848
writer_count,WT_C,hakai,3241
writer_Atested,WT_C,hakai,73663
writer_count,WT_C,vir,15494
writer_Atested,WT_C,vir,107015
nsites,WT_AA,,15800
A_tested,WT_AA,,166001
rate,WT_AA,,95.1801
writer_count,WT_AA,mta,43090
writer_Atested,WT_AA,mta,228153
writer_count,WT_AA,mtb,24641
writer_Atested,WT_AA,mtb,192016
writer_count,WT_AA,fip37,10448
writer_Atested,WT_AA,fip37,101232
writer_count,WT_AA,hakai,6258
writer_Atested,WT_AA,hakai,102968
writer_count,WT_AA,vir,25915
writer_Atested,WT_AA,vir,166001
nsites,anac017-1_C,,16520
A_tested,anac017-1_C,,137684
rate,anac017-1_C,,119.9849
writer_count,anac017-1_C,mta,44930
writer_Atested,anac017-1_C,mta,193889
writer_count,anac017-1_C,mtb,23577
writer_Atested,anac017-1_C,mtb,148289
writer_count,anac017-1_C,fip37,10281
writer_Atested,anac017-1_C,fip37,78495
writer_count,anac017-1_C,hakai,6890
writer_Atested,anac017-1_C,hakai,78872
writer_count,anac017-1_C,vir,26913
writer_Atested,anac017-1_C,vir,137684
nsites,anac017-1_AA,,15014
A_tested,anac017-1_AA,,129336
rate,anac017-1_AA,,116.0852
writer_count,anac017-1_AA,mta,39327
writer_Atested,anac017-1_AA,mta,181556
writer_count,anac017-1_AA,mtb,22040
writer_Atested,anac017-1_AA,mtb,142706
writer_count,anac017-1_AA,fip37,9506
writer_Atested,anac017-1_AA,fip37,75395
writer_count,anac017-1_AA,hakai,6021
writer_Atested,anac017-1_AA,hakai,76156
writer_count,anac017-1_AA,vir,23786
writer_Atested,anac017-1_AA,vir,129336
aa_anac,aa_gain_wt,,7202
aa_anac,aa_lost_wt,,1409
aa_anac,aa_gain_mut,,4094
aa_anac,aa_lost_mut,,5600
aa_anac,anac017_dep,,6225
