"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001666","response to hypoxia","22/99","187/7103",0.117647058823529,8.44087938205585,12.2589264143721,5.07637346632515e-15,7.48080803460607e-13,6.76164549053766e-13,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G72330/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820/AT1G43800/AT5G24530",22
"GO:0071456","cellular response to hypoxia","21/99","171/7103",0.12280701754386,8.81109339004076,12.291799598505,9.61131653268446e-15,7.48080803460607e-13,6.76164549053766e-13,"AT1G07135/AT1G23710/AT1G26380/AT1G69890/AT1G76600/AT1G76680/AT2G16060/AT2G23270/AT2G26560/AT2G36800/AT2G47520/AT3G02040/AT3G25250/AT3G46080/AT4G30280/AT5G20150/AT5G27420/AT5G57220/AT5G59820/AT1G43800/AT5G24530",21
"GO:0009617","response to bacterium","17/99","339/7103",0.0501474926253687,3.59795596078782,5.82726404216914,3.56036840680788e-06,0.000237527435139897,0.000214692891899242,"AT1G21110/AT1G21120/AT1G26380/AT1G66700/AT1G68765/AT3G10930/AT3G46080/AT3G56710/AT4G28460/AT5G15090/AT5G24110/AT5G27420/AT5G57220/AT2G45220/AT4G10500/AT4G12500/AT5G24530",17
"GO:0009751","response to salicylic acid","10/99","123/7103",0.0813008130081301,5.83312802824998,6.42817966505376,7.12804817696983e-06,0.000369866499849434,0.000334309627949111,"AT1G66700/AT1G75270/AT1G76680/AT2G03760/AT5G05190/AT5G08790/AT5G24110/AT2G14560/AT4G10500/AT5G24530",10
"GO:0000302","response to reactive oxygen species","8/99","106/7103",0.0754716981132075,5.4149037545264,5.44443852736367,0.000105021117471758,0.0044586238053919,0.00402999694795932,"AT1G05680/AT1G75270/AT3G10930/AT4G02380/AT4G17490/AT5G24110/AT5G24640/AT4G21830",8
"GO:0009813","flavonoid biosynthetic process","5/99","41/7103",0.121951219512195,8.74969204237497,5.91626173840542,0.000239264010664325,0.0093113577483533,0.00841621651547317,"AT2G15490/AT2G36790/AT4G34135/AT1G75040/AT5G24530",5
"GO:0032259","methylation","5/99","46/7103",0.108695652173913,7.79863855950812,5.49953123254658,0.000414214198714012,0.0148798485230341,0.0134493841039934,"AT1G21100/AT1G21110/AT1G21120/AT1G21130/AT1G66700",5
"GO:0009812","flavonoid metabolic process","5/99","47/7103",0.106382978723404,7.63271007951859,5.42369825649885,0.000458455381597854,0.015167034837888,0.0137089619519736,"AT2G15490/AT2G36790/AT4G34135/AT1G75040/AT5G24530",5
"GO:2000280","regulation of root development","4/99","27/7103",0.148148148148148,10.6292555181444,5.95957848567357,0.000487163859889338,0.015167034837888,0.0137089619519736,"AT1G66700/AT2G47520/AT4G28460/AT4G37290",4
"GO:0006790","sulfur compound metabolic process","10/99","215/7103",0.0465116279069767,3.33709184871976,4.13697888235647,0.000775717916716654,0.0213094274768634,0.0192608597277634,"AT1G17170/AT1G17180/AT1G21100/AT1G21120/AT1G75270/AT2G03760/AT4G21990/AT5G57220/AT5G62480/AT5G07010",10
"GO:0006979","response to oxidative stress","11/99","257/7103",0.0428015564202335,3.07090358841332,4.02015555112492,0.000842520953956524,0.0214853159151394,0.0194198392470887,"AT1G05680/AT1G32870/AT1G75270/AT3G10930/AT3G25250/AT4G02380/AT4G17490/AT5G24110/AT5G24640/AT5G59820/AT4G21830",11
"GO:0042343","indole glucosinolate metabolic process","3/99","15/7103",0.2,14.349494949495,6.15295123396634,0.00105816331059573,0.0214853159151394,0.0194198392470887,"AT1G21100/AT1G21120/AT5G57220",3
"GO:0098754","detoxification","6/99","88/7103",0.0681818181818182,4.89187327823691,4.36738071343706,0.00135784820472279,0.0264214629835642,0.0238814530742911,"AT1G17170/AT1G17180/AT1G75270/AT2G04040/AT2G36800/AT5G62480",6
"GO:0006749","glutathione metabolic process","4/99","40/7103",0.1,7.17474747474748,4.65574790276695,0.00220878034299127,0.0396730930837279,0.0358591464590891,"AT1G17170/AT1G17180/AT1G75270/AT5G62480",4
"GO:0010224","response to UV-B","4/99","40/7103",0.1,7.17474747474748,4.65574790276695,0.00220878034299127,0.0396730930837279,0.0358591464590891,"AT1G32870/AT1G35210/AT5G59820/AT1G75040",4
"GO:0042537","benzene-containing compound metabolic process","4/99","41/7103",0.0975609756097561,6.99975363389998,4.58032560132844,0.00242170102756716,0.0418864585138468,0.0378597314641104,"AT1G17170/AT1G17180/AT4G10500/AT5G24530",4
"GO:0010150","leaf senescence","6/99","102/7103",0.0588235294117647,4.22043969102793,3.89466475304206,0.00288618816149335,0.0464775817730136,0.042009490118288,"AT1G76680/AT4G02380/AT5G08790/AT5G24110/AT4G10500/AT5G24530",6
